NICKNAME,PROXYMAIL,性別,OKANE
KIM,KIM,woman,926
park,park,woman,321
son,son,man,34
SONG,SONG,man,543
sam,sam,woman,33
japan,japan,man,26
james,james,man,23
smith,smith,woman,379
black,black,man,990
jonson,jonson,woman,23
paku,paku@gmail.com,woman,0 & car
yosimura,yosimura@gmail.com,man,0 & ship
tohei,tohei@gmail.com,man,0 & kkondae
ssibal,ssibal@gmail.com,man,0 & house
baegopa,baegopa@gmail.com,man,0 & food
mulgogi,mulgogi@gmail.com,woman,0 & car
koto,koto@gmail.com,woman,0 & me
jackson,jackson@gmail.com,man,0 & computer
asdfasdf,jonson@gmail.com,woman,0 & car
